,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,totalincome
21,LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,1,Y,11580
22,LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,0,N,4511
23,LP001050,Male,Yes,2,Not Graduate,No,3365,1917,112,360,0,-1,N,5282
24,LP001052,Male,Yes,1,Graduate,No,3717,2925,151,360,1,0,N,6642
25,LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,0,Y,9560
26,LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,0,Y,5052
27,LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,1,Y,5266
28,LP001086,Male,No,0,Not Graduate,No,1442,0,35,360,1,1,N,1442
29,LP001087,Female,No,2,Graduate,No,3750,2083,120,360,1,0,Y,5833
30,LP001091,Male,Yes,1,Graduate,No,4166,3369,201,360,1,1,N,7535
31,LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,1,N,3167
32,LP001097,Male,No,1,Graduate,Yes,4692,0,106,360,1,-1,N,4692
33,LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,0,Y,5167
34,LP001100,Male,No,3+,Graduate,No,12500,3000,320,360,1,-1,N,15500
35,LP001106,Male,Yes,0,Graduate,No,2275,2067,120,360,1,1,Y,4342
36,LP001109,Male,Yes,0,Graduate,No,1828,1330,100,360,0,1,N,3158
37,LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,0,Y,5126
38,LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,1,Y,11376
39,LP001116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,0,Y,5416
40,LP001119,Male,No,0,Graduate,No,3600,0,80,360,1,1,N,3600
41,LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,1,Y,3013
42,LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,1,1,Y,2400
43,LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,0,Y,6277
44,LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,96,360,1,1,Y,4695
45,LP001137,Female,No,0,Graduate,No,3410,0,88,360,1,1,Y,3410
46,LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,1,Y,5649
47,LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,1,Y,5821
48,LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,1,N,6085
49,LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,0,Y,6275
50,LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,0,Y,3572
51,LP001157,Female,No,0,Graduate,No,3086,0,120,360,1,0,Y,3086
52,LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,0,N,4230
53,LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,1,N,4616
54,LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,1,N,11500
55,LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,0,Y,3875
56,LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,0,Y,3723
57,LP001197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,-1,N,5566
58,LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,1,Y,10330
59,LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,1,Y,6216
60,LP001205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,1,Y,6296
61,LP001206,Male,Yes,3+,Graduate,No,3029,0,99,360,1,1,Y,3029
62,LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,-1,N,6058
63,LP001213,Male,Yes,1,Graduate,No,4945,0,120,360,0,-1,N,4945
64,LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,0,N,4166
65,LP001225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,0,N,10321
66,LP001228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,1,N,5454
67,LP001233,Male,Yes,1,Graduate,No,10750,0,312,360,1,1,Y,10750
68,LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,1,Y,7100
69,LP001241,Female,No,0,Graduate,No,4300,0,136,360,0,0,N,4300
70,LP001243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,1,Y,6274
71,LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,0,Y,3750
72,LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,0,Y,3500
73,LP001250,Male,Yes,3+,Not Graduate,No,4755,0,95,360,0,0,N,4755
74,LP001253,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,0,Y,7040
75,LP001255,Male,No,0,Graduate,No,3750,0,113,480,1,1,N,3750
76,LP001256,Male,No,0,Graduate,No,3750,4750,176,360,1,1,N,8500
77,LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,1,N,4022
78,LP001263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,0,N,7167
79,LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,1,0,Y,5499
80,LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,0,Y,3846
81,LP001266,Male,Yes,1,Graduate,Yes,2395,0,120,360,1,0,Y,2395
82,LP001267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,1,N,3259
83,LP001273,Male,Yes,0,Graduate,No,6000,2250,265,360,1,0,N,8250
84,LP001275,Male,Yes,1,Graduate,No,3988,0,50,240,1,1,Y,3988
85,LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,0,Y,4897
86,LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,1,0,Y,5333
87,LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,0,Y,4618
88,LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,1,Y,8566
89,LP001310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,0,Y,9862
90,LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,0,Y,5858
91,LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,0,Y,11904
92,LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,1,Y,5093
93,LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,0,Y,4133
94,LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,0,Y,3620
95,LP001326,Male,No,0,Graduate,No,6782,0,120,360,1,1,N,6782
96,LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,0,Y,4786
97,LP001333,Male,Yes,0,Graduate,No,1977,997,50,360,1,0,Y,2974
98,LP001334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,0,Y,4188
99,LP001343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,0,Y,5300
100,LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,1,Y,7551
101,LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,0,Y,8649
102,LP001350,Male,Yes,0,Graduate,No,13650,0,120,360,1,1,Y,13650
103,LP001356,Male,Yes,0,Graduate,No,4652,3583,120,360,1,0,Y,8235
104,LP001357,Male,Yes,0,Graduate,No,3816,754,160,360,1,1,Y,4570
105,LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,1,Y,4082
106,LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,1,Y,12543
107,LP001370,Male,No,0,Not Graduate,No,7333,0,120,360,1,-1,N,7333
108,LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,1,N,7400
109,LP001384,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,0,Y,2825
110,LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,1,Y,5316
111,LP001387,Female,Yes,0,Graduate,No,2929,2333,139,360,1,0,Y,5262
112,LP001391,Male,Yes,0,Not Graduate,No,3572,4114,152,360,0,-1,N,7686
113,LP001392,Female,No,1,Graduate,Yes,7451,0,120,360,1,0,Y,7451
114,LP001398,Male,No,0,Graduate,No,5050,0,118,360,1,0,Y,5050
115,LP001401,Male,Yes,1,Graduate,No,14583,0,185,180,1,-1,Y,14583
116,LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,0,Y,5450
117,LP001405,Male,Yes,1,Graduate,No,2214,1398,85,360,1,1,Y,3612
118,LP001421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,-1,N,7710
119,LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,1,Y,10408
120,LP001426,Male,Yes,0,Graduate,No,5667,2667,180,360,1,-1,Y,8334
121,LP001430,Female,No,0,Graduate,No,4166,0,44,360,1,0,Y,4166
122,LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,0,Y,11117
123,LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,0,Y,2957
124,LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,-1,Y,6314
125,LP001443,Female,No,0,Graduate,No,3692,0,93,360,1,-1,Y,3692
126,LP001448,Male,Yes,3+,Graduate,No,23803,0,370,360,1,-1,Y,23803
127,LP001449,Male,No,0,Graduate,No,3865,1640,120,360,1,-1,Y,5505
128,LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,1,N,14363
129,LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,1,-1,N,8649
130,LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,1,1,Y,20166
131,LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,1,Y,3943
132,LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,0,Y,2718
133,LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,0,Y,3459
134,LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,0,Y,4895
135,LP001488,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,0,N,11750
136,LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,-1,N,4583
137,LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,1,Y,6816
138,LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,0,N,14999
139,LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,-1,N,5630
140,LP001497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,-1,N,7125
141,LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,1,Y,5417
142,LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,0,Y,6950
143,LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,0,Y,4732
144,LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,1,Y,11757
145,LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,0,Y,6816
146,LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,1,Y,14866
147,LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,1,Y,2963
148,LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,-1,N,11666
149,LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,0,Y,5690
150,LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,-1,N,6277
151,LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,-1,Y,6327
152,LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,1,N,9166
153,LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,-1,N,2281
154,LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,1,Y,3254
155,LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,0,Y,39999
156,LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,1,-1,Y,6000
157,LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,1,Y,9538
158,LP001546,Male,No,0,Graduate,No,2980,2083,120,360,1,-1,Y,5063
159,LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,0,Y,10208
160,LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,0,Y,2904
161,LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,1,N,7933
162,LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,0,N,4369
163,LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,-1,Y,5614
164,LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,1,Y,9323
165,LP001574,Male,Yes,0,Graduate,No,3707,3166,182,360,1,-1,Y,6873
166,LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,-1,N,4583
167,LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,-1,Y,5772
168,LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,0,N,2237
169,LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,0,Y,8000
170,LP001581,Male,Yes,0,Not Graduate,No,1820,1769,95,360,1,-1,Y,3589
171,LP001585,Male,Yes,3+,Graduate,No,51763,0,700,300,1,1,Y,51763
172,LP001586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,-1,N,3522
173,LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,0,Y,11333
174,LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,0,N,5080
175,LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,-1,Y,5461
176,LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,-1,Y,3664
177,LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,0,N,16816
178,LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,0,Y,3750
179,LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,1,N,3784
180,LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,1,N,13650
181,LP001634,Male,No,0,Graduate,No,1916,5063,67,360,1,-1,N,6979
182,LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,0,Y,4600
183,LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,0,N,33846
184,LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,0,Y,3625
185,LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,0,Y,43897
186,LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,-1,N,2178
187,LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,1,-1,Y,4521
188,LP001644,Male,Yes,0,Graduate,Yes,674,5296,168,360,1,-1,Y,5970
189,LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,-1,Y,9328
190,LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,-1,Y,4885
191,LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,0,N,12000
192,LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,1,N,6033
193,LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,0,Y,3858
194,LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,-1,Y,4191
195,LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,0,N,5708
196,LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,-1,Y,12083
197,LP001669,Female,No,0,Not Graduate,No,1907,2365,120,360,1,1,Y,4272
198,LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,1,0,Y,6232
199,LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,1,N,11000
200,LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,0,Y,5100
201,LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,0,Y,4923
202,LP001682,Male,Yes,3+,Not Graduate,No,3992,0,120,180,1,1,N,3992
203,LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,1,Y,4583
204,LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,0,Y,3917
205,LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,0,Y,4408
206,LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,1,Y,3244
207,LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,-1,Y,6506
208,LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,1,Y,2479
209,LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,0,N,3418
210,LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,0,N,10000
211,LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,0,N,4680
212,LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,1,Y,7787
213,LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,-1,Y,5703
214,LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,1,Y,6194
215,LP001720,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,0,Y,4833
216,LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,-1,N,1950
217,LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,0,Y,5502
218,LP001732,Male,Yes,2,Graduate,No,5000,0,72,360,0,0,N,5000
219,LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,1,0,Y,6666
220,LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,1,N,2221
221,LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,0,Y,5726
222,LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,0,Y,5762
223,LP001749,Male,Yes,0,Graduate,No,7578,1010,175,360,1,0,Y,8588
224,LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,0,Y,6250
225,LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,-1,N,3250
226,LP001754,Male,Yes,0,Not Graduate,Yes,4735,0,138,360,1,1,N,4735
227,LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,0,Y,7945
228,LP001760,Male,Yes,0,Graduate,No,4758,0,158,480,1,0,Y,4758
229,LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,-1,Y,6400
230,LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,0,Y,4545
231,LP001768,Male,Yes,0,Graduate,No,3716,0,42,180,1,-1,Y,3716
232,LP001770,Male,No,0,Not Graduate,No,3189,2598,120,360,1,-1,Y,5787
233,LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,0,Y,8333
234,LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,0,Y,4934
235,LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,-1,Y,6760
236,LP001786,Male,Yes,0,Graduate,No,5746,0,255,360,1,1,N,5746
237,LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,1,1,Y,3463
238,LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,-1,Y,3812
239,LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,0,Y,3315
240,LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,-1,Y,10819
241,LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,1,N,4493
242,LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,1,Y,8666
243,LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,-1,Y,7550
244,LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,0,Y,7823
245,LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,1,N,10383
246,LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,1,Y,9703
247,LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,1,Y,6608
248,LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,0,Y,4725
249,LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,1,Y,3677
250,LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,0,N,5558
251,LP001836,Female,No,2,Graduate,No,3427,0,138,360,1,1,N,3427
252,LP001841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,-1,Y,4750
253,LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,0,Y,9762
254,LP001844,Male,No,0,Graduate,Yes,16250,0,192,360,0,1,N,16250
255,LP001846,Female,No,3+,Graduate,No,3083,0,255,360,1,-1,Y,3083
256,LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,-1,N,6045
257,LP001854,Male,Yes,3+,Graduate,No,5250,0,94,360,1,1,N,5250
258,LP001859,Male,Yes,0,Graduate,No,14683,2100,304,360,1,-1,N,16783
259,LP001864,Male,Yes,3+,Not Graduate,No,4931,0,128,360,1,0,N,4931
260,LP001865,Male,Yes,1,Graduate,No,6083,4250,330,360,1,1,Y,10333
261,LP001868,Male,No,0,Graduate,No,2060,2209,134,360,1,0,Y,4269
262,LP001870,Female,No,1,Graduate,No,3481,0,155,36,1,0,N,3481
263,LP001871,Female,No,0,Graduate,No,7200,0,120,360,1,-1,Y,7200
264,LP001872,Male,No,0,Graduate,Yes,5166,0,128,360,1,0,Y,5166
265,LP001875,Male,No,0,Graduate,No,4095,3447,151,360,1,-1,Y,7542
266,LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,0,Y,6095
267,LP001882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,1,Y,6144
268,LP001883,Female,No,0,Graduate,No,3418,0,135,360,1,-1,N,3418
269,LP001884,Female,No,1,Graduate,No,2876,1560,90,360,1,1,Y,4436
270,LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,1,Y,3237
271,LP001891,Male,Yes,0,Graduate,No,11146,0,136,360,1,1,Y,11146
272,LP001892,Male,No,0,Graduate,No,2833,1857,126,360,1,-1,Y,4690
273,LP001894,Male,Yes,0,Graduate,No,2620,2223,150,360,1,0,Y,4843
274,LP001896,Male,Yes,2,Graduate,No,3900,0,90,360,1,0,Y,3900
275,LP001900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,0,Y,4592
276,LP001903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,0,Y,7267
277,LP001904,Male,Yes,0,Graduate,No,3103,1300,80,360,1,1,Y,4403
278,LP001907,Male,Yes,0,Graduate,No,14583,0,436,360,1,0,Y,14583
279,LP001908,Female,Yes,0,Not Graduate,No,4100,0,124,360,1,-1,Y,4100
280,LP001910,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,1,N,6479
281,LP001914,Male,Yes,0,Graduate,No,3927,800,112,360,1,0,Y,4727
282,LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,1,Y,3286.799988
283,LP001917,Female,No,0,Graduate,No,1811,1666,54,360,1,1,Y,3477
284,LP001922,Male,Yes,0,Graduate,No,20667,0,120,360,1,-1,N,20667
285,LP001924,Male,No,0,Graduate,No,3158,3053,89,360,1,-1,Y,6211
286,LP001925,Female,No,0,Graduate,Yes,2600,1717,99,300,1,0,N,4317
287,LP001926,Male,Yes,0,Graduate,No,3704,2000,120,360,1,-1,Y,5704
288,LP001931,Female,No,0,Graduate,No,4124,0,115,360,1,0,Y,4124
289,LP001935,Male,No,0,Graduate,No,9508,0,187,360,1,-1,Y,9508
290,LP001936,Male,Yes,0,Graduate,No,3075,2416,139,360,1,-1,Y,5491
291,LP001938,Male,Yes,2,Graduate,No,4400,0,127,360,0,0,N,4400
292,LP001940,Male,Yes,2,Graduate,No,3153,1560,134,360,1,1,Y,4713
293,LP001945,Female,No,0,Graduate,No,5417,0,143,480,0,1,N,5417
294,LP001947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,0,Y,5717
295,LP001949,Male,Yes,3+,Graduate,No,4416,1250,110,360,1,1,Y,5666
296,LP001953,Male,Yes,1,Graduate,No,6875,0,200,360,1,0,Y,6875
297,LP001954,Female,Yes,1,Graduate,No,4666,0,135,360,1,1,Y,4666
298,LP001955,Female,No,0,Graduate,No,5000,2541,151,480,1,-1,N,7541
299,LP001963,Male,Yes,1,Graduate,No,2014,2925,113,360,1,1,N,4939
300,LP001964,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,1,N,4734
301,LP001972,Male,Yes,0,Not Graduate,No,2875,1750,105,360,1,0,Y,4625
302,LP001974,Female,No,0,Graduate,No,5000,0,132,360,1,-1,Y,5000
303,LP001977,Male,Yes,1,Graduate,No,1625,1803,96,360,1,1,Y,3428
304,LP001978,Male,No,0,Graduate,No,4000,2500,140,360,1,-1,Y,6500
305,LP001990,Male,No,0,Not Graduate,No,2000,0,120,360,1,1,N,2000
306,LP001993,Female,No,0,Graduate,No,3762,1666,135,360,1,-1,Y,5428
307,LP001994,Female,No,0,Graduate,No,2400,1863,104,360,0,1,N,4263
308,LP001996,Male,No,0,Graduate,No,20233,0,480,360,1,-1,N,20233
309,LP001998,Male,Yes,2,Not Graduate,No,7667,0,185,360,1,-1,Y,7667
310,LP002002,Female,No,0,Graduate,No,2917,0,84,360,1,0,Y,2917
311,LP002004,Male,No,0,Not Graduate,No,2927,2405,111,360,1,0,Y,5332
312,LP002006,Female,No,0,Graduate,No,2507,0,56,360,1,-1,Y,2507
313,LP002008,Male,Yes,2,Graduate,Yes,5746,0,144,84,1,-1,Y,5746
314,LP002024,Male,Yes,0,Graduate,No,2473,1843,159,360,1,-1,N,4316
315,LP002031,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,1,Y,5039
316,LP002035,Male,Yes,2,Graduate,No,3717,0,120,360,1,0,Y,3717
317,LP002036,Male,Yes,0,Graduate,No,2058,2134,88,360,1,1,Y,4192
318,LP002043,Female,No,1,Graduate,No,3541,0,112,360,1,0,Y,3541
319,LP002050,Male,Yes,1,Graduate,Yes,10000,0,155,360,1,-1,N,10000
320,LP002051,Male,Yes,0,Graduate,No,2400,2167,115,360,1,0,Y,4567
321,LP002053,Male,Yes,3+,Graduate,No,4342,189,124,360,1,0,Y,4531
322,LP002054,Male,Yes,2,Not Graduate,No,3601,1590,120,360,1,-1,Y,5191
323,LP002055,Female,No,0,Graduate,No,3166,2985,132,360,1,-1,Y,6151
